config,total_markets,total_signals,wins,losses,win_rate,total_pnl,avg_pnl,roi_pct,sharpe,max_drawdown,avg_entry_price
default,3739,235,162,73,0.6894,7.513,0.032,4.86,0.084,6.649,0.4412
aggressive,3739,402,277,125,0.6891,12.2765,0.0305,4.64,0.08,5.38,0.3892
conservative,3739,71,47,24,0.662,-0.395,-0.0056,-0.83,-0.014,5.3025,0.3765
a_heavy,3739,112,71,41,0.6339,-0.301,-0.0027,-0.42,-0.007,5.805,0.3885
b_heavy,3739,259,180,79,0.695,8.4545,0.0326,4.93,0.086,4.2205,0.4257
no_conf_penalty,3739,364,241,123,0.6621,12.4415,0.0342,5.44,0.087,4.558,0.4174
