config,total_markets,total_signals,wins,losses,win_rate,total_pnl,avg_pnl,roi_pct,sharpe,max_drawdown,avg_entry_price
default,277,23,16,7,0.6957,2.6385,0.1147,19.75,0.307,1.171,0.4239
aggressive,277,41,25,16,0.6098,1.876,0.0458,8.11,0.125,1.883,0.3573
conservative,277,1,0,1,0.0,-0.09,-0.09,-100.0,,0.09,0.09
a_heavy,277,2,0,2,0.0,-0.425,-0.2125,-100.0,-1.227,0.425,0.3775
b_heavy,277,27,18,9,0.6667,2.005,0.0743,12.54,0.197,1.686,0.4117
no_conf_penalty,277,38,22,16,0.5789,1.737,0.0457,8.57,0.121,1.883,0.3818
